0,index,helpfulness,review_title,total_hours,diff_date,text_content,user_name,game_count,comment_count,xp,review_count,friend_count
10,10,11,不推荐,0.8,1106,这游戏没个玩，封号不讲证据，客服一句话：爱玩玩不玩滚，反正韭菜割完了。,阿斯顿·马掌,1,0,0,1,8
11,11,7,不推荐,0.7,1208,重温一下就卸了，一是都不出个高清版，窗口下那一小块如今真没法玩。二是当年保利和之前万向代理的那阵，老丢船，尤其保利，马耳他计划，大和II，加贺，狮II等船有几年没玩回去一看全丢了，所以冲这个也不会再玩一遍。况且如今转战《战舰世界》也三年多了，目前也有了美英法三国5线5艘10级船了，还是继续战舰吧。,Spruance,13,1,0,0,0
12,12,5,推荐,68.9,84,这个游戏，是我初中的时候接触的第一款海战，可以说我很享受炮弹在经过自己精心计算的角度，划过一条漂亮的抛物线，砸中敌船的感受。目前这游戏前期难熬，但是后期游戏性简直完爆其他战争游戏，这就是为什么这游戏能活15年的原因。,Shenhan,113,0,500,23,53
13,13,6,推荐,83.1,1163,游戏是个好游戏，就是运营商的老板像是我草了他的妈一样态度恶劣,Fake.Tax!,22,0,0,0,0
14,14,7,不推荐,24.6,1159,这么说吧，有些东西还是留在回忆里算了。运营已经很难提供良好游戏体验了。因为我弄了一晚上没登录成功。实名认证两个小时没审核完。一句话，就这样吧,黑皮冬木,29,0,0,4,8
15,15,5,不推荐,1.7,1134,激活账号都不能，还要单独联系QQ。而且还说我电脑充满危险，虽然很情怀可是也很不推荐，垃圾,18752115009,6,0,0,0,0
16,16,4,不推荐,163.7,1218,没人会玩的，全是老鸟,soct,4,0,0,1,6
17,17,5,推荐,1.7,1201,看了一些评论，我说两句。首先关于游戏，02年的游戏爷爷了，现在很多弊端是当初设计问题，要改就只能重新做了，这点没办法，想怀旧只能忍忍。其次是代理商，嗯怎么说呢，有时候说话是有点厉（cao）害（dan），但是无关大局，反正我断断续续玩了两年，基本没碰到什么，该解决的都解决了。最后是关于氪不氪金，我很负责的告诉你，这种老游戏看的是技术，跟氪金没什么大的关系，你氪了当然会有更好的体验，不氪技术好一样牛逼。很多游戏数据比如精准度都是有上限的，在这儿解释比较麻烦，可以去论坛看看就明白。反正作为怀旧来说，要给予肯定，我别的要求没有，能稳定做下去就行（听到没有大雄，说你呢！）。,Magic Wong,34,0,0,1,21
18,18,5,不推荐,0.1,362,"不得不说这游戏很贴心 第二次评论就献给这款游戏了在商店里看到这款游戏的时候心情是激动的下载完后打开会弹出一个巨大的黄色框框写着什么反作弊系统当那什么‘反作弊系统’初始化完后我的steam和wallpaper engine就被贴心地暴力关闭了进入游戏不知如何注册 准备百度一下就打开了firefox谁知道这‘反作弊系统’为了防止我在玩游戏的时候分心居然强行卡死了我的firefox，导致我攒了几个月的浏览历史(几十个打开的标签页)都灰飞烟灭注：百度一下发现游戏自带了一款病毒一样的韩国反作弊系统“nProtect GamaGuard” 会在电脑里所有的进程里注入钩子并强行关闭所有它认为有威胁的进程退出游戏再次打开浏览器进入'酷派天空玩家社区'(一个看起来像是10年前的，中英混杂的怀旧页面)在迷宫一样的网站里找到了注册账号的地方大致说一下注册的流程需要用微信关注一个公众号再填写你的手机号码来注册为了保证游戏体验你需要进行实名认证(要求身份证号和姓名)最重要的是账号注册完还需要激活 如果你太激动直接登录游戏的话会提示账号不存在或未激活贴心的前端在激活页面下添加了金币充值页面，并且用橙字提醒‘本页面可将酷豆兑换成游戏金币，请选择兑换金额’和‘一经兑换，概不退换’当然由于一些问题页面会提示‘您的浏览器关闭了JS功能，网页显示会不正常，请修改JS设置或更换浏览器’但是不影响正常使用至此账号就激活成功了注：在这个网站里你可以填写你的个人信息(例如学历收入公司职位联系方式邮编和邮寄地址当然还有你刚才绑定的手机号,这些默认全是公开的)进入游戏发现国家名称都被和谐成了很有艺术感的名字(‘金鹰’，‘山猫’什么的)舰艇名称被贴心地改成了 国籍+等级 的命名(例如金鹰战列-103级)完成教程后第一场战斗刚进游戏就被一阵密集的炮弹秒了逛了一趟论坛才发现游戏里有全属性18的水兵和开挂一样的雷达出售不过这些东西都能通过明码标价和概率公开的抽奖获得不得不说酷派天空的抽奖系统还是很完善的至少我就在买钥匙开箱子，砸金蛋，大转盘和开宝箱里懵逼了半天最后4种都试了一下 抽了几十次无一例外每次都是酷币X10总结一下 这款游戏还是非常适合人傻钱多的玩家的注：如果想跳过steam直接启动游戏的话会发现游戏有8个图标一模一样的启动器 右键属性会发现版权上写着Copyright Microsoft 2018想得到steam游戏时间的话必须断网运行 不然启动器加载完后steam就认为游戏已退出了",luoluo1,89,1,0,2,13
19,19,3,不推荐,17.2,1284,翻了官网上商店一个多小时候后，终于找到找到新手包，配齐一条船12级的精英水兵，分别是战列、潜艇、航母的（三个独立包），价格是每个包3600金币，不算首充双倍就是180?这个价位是否值得，见仁见智吧。反正白嫖没法玩（我也不推荐）。========上次评测==========萌新的薄皮驱逐、DD打闪电战（可以理解为低级区），被一大堆速度、护甲、血量碾压的CLCA平推萌新的FF甚至连鱼雷都没有，这些CLCA玩家甚至不屑于瞄准。目测这样的挂机一样的游戏体验还需要四到六个小时？老游戏的设计有缺陷是不错，情怀和免费不能算吸引新玩家的优点。敢问是否有入门礼包呢？氪个一百几十，能否让新玩家不要浪费时间在前期的挂机上呢？这个入门礼包的核心不是船只，而是一套二三十级级能开上主流船只的水兵，就当是68一个国家好了。官网上人民币与金币1：20，而一个（注意是个，开一条船至少要5-6个水兵）12级的水兵则需要16000金币，比年卡还要贵3000。也就是说1-12级的挨打时间价值16000*6/20=4800?，哪怕按首充双倍算，也要2400?。我没看错的话那这游戏还真是比上班还赚钱啊。哎，核心的问题是新人不够，这个年代竞技网游最大的难题就是这个了。难得STEAM上消费的风气还可以，其实没必要死抱着十年前的运营定价思路玩。,jm,156,0,0,25,34
20,20,3,推荐,0.1,29,老游戏，永远的经典，永远支持《NAVYFIELD》游戏IDqq405006541,矿工0我爱钱0,4,0,0,0,0
21,21,4,推荐,35.6,1195,免费获取的产品公测开始玩，玩了十几年,wha123456,6,0,0,0,0
22,22,7,不推荐,711.5,1106,以前贴吧是黑粉，说的并不完全对，这游戏可肝可肝氪。白嫖玩的也可以不错，氪金了也需要一个好肝。但是最差劲的是某客服，一副你欠他钱的嘴脸，他说的全对，被实锤打脸还死不承认！,锦朝,2,0,0,2,3
23,23,4,不推荐,0.2,831,狗屎一样的运营商为什么还没死,Semiramis,103,0,100,14,24
24,24,4,推荐,469.8,1212,还是喜欢撸大海战,206061,1,0,0,0,0
25,25,3,不推荐,854.5,1134,游戏是个好游戏，就是代理商真他妈垃圾。一周不回复工单的情况时有发生，还屌的一逼，动不动就爱玩玩不玩滚。,Swift,232,0,500,11,75
26,26,2,不推荐,6.4,1265,这个游戏最致命的缺陷在于完全的对下碾压以及随之而来被严重挤压的新手生存空间，我作为老鸟回归，前期挨打倒是能习惯，可如果是完全没有接触过这个游戏的新玩家挨了几顿打，也许就再也不会打开这个游戏了画面落后，操作难度大，反而并不是太大的问题,LarryHalsey,142,0,374,14,49
27,27,3,不推荐,0.2,1228,游戏过于高端，对新人还是不太友好，建议完善新手教程与优化各个界面，例如出港后总是找不到回港的选项，以及水兵到了12级后选择国家以及购买新战舰的新手教程等等虽然确实是经典，但还是得与时俱进不是嘛,Sasebo no Shigure,22,0,0,2,19
28,28,7,不推荐,0.6,1106,这破几把游戏就是个坑，狗比游戏太几把烂了    还有煞笔客服 跟他妈被人轮了似的，一帮大傻逼，  酷派天空就没有比他们更傻逼的了   一帮大傻逼，都他妈是傻逼 ，,老*汉,58,0,0,1,4
29,29,4,不推荐,691.2,1167,建议别玩 客服乱封号 不管你花了多少钱,文大涛,13,0,0,1,13
30,30,5,不推荐,281.3,1100,不修各种游戏恶性Bug（这些Bug包括一些遗留数十年的以及一些新出来的），良性Bug倒是秒修，体验十分糟糕。举例的话，旧Bug：下打上射程优势新Bug：港口战打完一局后清空所有弹药，包括收费弹药此外，新收费换皮船和各种骗肝活动，倒是一直不断，颇有韩国网游的意思（其游戏原型也是棒子公司做的）总结一下的话：+支持128多人同时对战（港口战除外）+二战海战题材网游始祖+客制化战舰+各种活动=硬核操作-画面差-分辨率捉鸡（2020年了，魔兽争霸3都支持宽屏了）-存在明显恶劣Bug而且修复无望-早期棒子网游的机制（海点随机roll兵混游戏时长，etc.）-标准Pay to win游戏环境-对新人及其不友好的游戏环境（同级别船只的战斗几乎完全由熟练兵和技术兵数量左右）-不维护玩家团体既得利益（运营团队对港口相关Bug以及各种游戏更新带来的港口Bug导致的舰队投资损失视而不见，感受一下EVE如果突然出个bug导致你POS里几年攒的十几条TT没了，找客服各种不鸟你，差不多就是这种感受）P.S. 我按差评按钮的原因是我不会向我的朋友推荐入坑这款游戏，但是我在我所属的舰队解散前会继续玩这个游戏。另外，在中国大陆运营国际服游戏是违法的（如雀魂），不知道拿到版号的国产网游是怎么操作的呢？,sakuya1993,50,4,0,1,21
31,31,2,推荐,0.2,26,免费获取的产品emmm，第一次写测评，贡献给这个老游戏吧。最早接触这个游戏是在小学了，现在都已经参加工作了。海战类游戏没少玩过，wows、战斗位置这些都玩了几十个小时，不过玩了一圈之后还是觉得大海战好玩，现在游戏在steam上架了，也从几个角度测评一下这个游戏。一：游戏性大海战作为一个2006年的老游戏能苟到现在，游戏性自然是数一数二。足足7国海军，每条线都有数十条cv、bb、ss线可供选择，每条线的bb和cv又不会有特性上的重复，有很肉的E国、中庸的A国、手长的G国等等；各国还有不同的水兵晋升线，每个国家在转职时都有细微的数据加成差别，足以体现这个国家的特色；船只的炮、装甲、发动机、侦察机、炮弹种类完全diy（你甚至可以只给一条三炮位的船上两门炮，这样你可以减少重量跑得更快或者上更厚的装甲），真正做到了同一条船，在不同人手里都不一样的性能；完完全全的自控射击，无论是射击方向，角度，齐射或者轮射都完全由自己控制，射击落点完全可以掌握（当然也跟你炮手的能力值有关）。还有很多我没有想到的东西，但光在游戏性这点，我给大海战满分。二：音乐大海战的bgm一直都没有换过，说起来其实也没有几个，但是他在每个国家的港口都有专属的国家bgm，很有特色的体现了这个国家的风格，AE国轻松明快、PG国的严肃沉闷，很好的体现了二战各国的海军风貌，而且大海战作为一个2006年的游戏，已经做到了bgm随动，接近胜利时bgm会变得激昂，血量过低时会变得悲怆，不得不说游戏制作人当初是用了心的。三：画面要说这游戏最大的问题，大概就是画面了，游戏毕竟太老了，整个都是伪3D的45度斜视视角，而且模型在战斗时也能看得出不是很精细，相对于wows这种精致的模型纯3d游戏来说，画面是完完全全被碾压了，唯一的好处可能就是不会晕3D了（笑）。四：pvp本游戏的pve没有任何经验和好处，纯粹是打着玩的，pvp的分房跟wows差不多，基本也是相对公平，但是不得不说，老玩家真的可以把新玩家吊打，水兵是这个游戏pvp的核心，高基础，高技术，高等级的水兵是每个玩家的追求。相对于wows的战斗，大海战更加以bb为核心，因为大部分bb玩家可以轻松在远处击杀dd和cl而且也没有高等级的dd和cl线，基本画风就是开局bb站成一排在敌人的极限射击范围外进行试探，dd、cl负责反潜和防空，cv在后方进行视野的控制和输出，ss找机会突破封锁线，进入敌方后排进行突袭。这种方式其实更贴近真实的海战，比起wows的鱼雷海好多了。。五：氪金的情况这游戏可以说是非常的良心。。。你完全可以不花一分钱招到自己的水兵，买到自己的船只，没钱了可以直接在公海开个房间要，老玩家都很友善，我的第一天bb就是乞讨来的2333，技术兵和熟练兵也可以通过战斗获得，除非你想要金币船，或者想快点升级弄个vip，不然真的是一块钱都不用花。不知不觉写了很多，这游戏也算是我的儿时情怀了，玩了十来年，还是觉得很好玩。我的舷号是=233=落叶，在最后打个广告吧，欢迎加入美服CHNB舰队，这里都是国人，有各种老司机带你玩，欢迎你的加入，qq群号79228060。SD ID:fangsibo1994,落叶枫霏,1,6,0,1,7
32,32,3,推荐,641.2,1169,免费获取的产品玩了很久了，除了画质，其他都好,宅宅蛙,17,0,500,2,54
33,33,3,推荐,75.6,1209,怀旧经典致敬！老玩家回归，感谢大熊。,mxlizb,1,0,0,0,0
34,34,2,不推荐,0.1,1253,以前的船，水兵全没了，完全不让人回归,Min,1,0,0,1,1
35,35,6,不推荐,20.3,1106,2020年来说1024*768的画质已经无法满足我们的眼睛。游戏多如牛毛的BUG和频发的闪退一直无法得到解决。充值规则与活动推广倒与国内大部分手游网游相似，层出不穷促人消费。新人极度不友好，新人要先加舰队，或者论坛看帖了解清楚如何发展才能下海非常麻烦。硬核的只有客服，态度恶劣行为诡异！,Monev,3,0,0,1,2
36,36,2,不推荐,1.7,245,为什么 下载了 不让登录  网页也无法连接,杀戮狮鹫,2,0,106,2,6
37,37,2,推荐,129.3,1122,老海战玩家了，念念不忘的大海战又回来了。必须赞一个,28449680,1,0,0,0,0
38,38,2,推荐,451.8,1117,很不错，适合中老年人消磨时光,haneither,5,0,0,1,9
39,39,2,推荐,265.7,1023,免费获取的产品还是以前的经典环境，但略有不同，活人多了，最起码没有挂机脚本了，经典游戏延续下去是重点，能维护生态更是重中之重，好评，加油努力哦！！,京兆大爹,12,0,0,3,27
40,40,1,推荐,26.4,29,没想到这么多年后还能看着自己初高中玩的游戏进steam。。。感慨万千,独孤孤独轱辘犊子,148,2,400,10,21
41,41,4,推荐,7.4,80,第一次玩这个游戏我还是中学时代。为青春再次扬帆启航！说实话，网络好卡。。。,Destinysolo,284,0,22600,60,71
42,42,3,推荐,530,1156,2001年就开始玩了就说这么多,戡亂滅匪,10,0,0,2,20
43,43,2,推荐,1,1114,不能买船？什么情况，船坞里什么都没有，说我不能重复买。,inudajin,18,0,0,1,6
44,44,1,不推荐,15.1,995,官网的二维码和篡改的军舰名令人作呕。2020/11/26更新你要好好改游戏就好好改游戏，就别整什么意识形态，结果游戏也没改好，意识形态也没成功输出，真是人不像人，鬼不像鬼，ε=(?ο｀*)))唉:mrpoppyhead:,心即理,232,0,400,52,47
45,45,2,推荐,975.5,1175,少有的硬核海战游戏！,liyan_cat,1,0,0,0,0
46,46,1,不推荐,0.9,31,15年前的游戏，活到今天已经是奇迹，进去开FF打局超级，然后默默删掉时代已经过去了。PS：今天才知道，大海战的国服居然被那个酷派天空给买了，怪不得这么多国服玩家往美服挤。真是萝卜被猪啃了。拿地球OL来炒作的新闻到现在还挂在各大游戏新闻网站上，好意思么？如果还喜欢玩，完全可以来STEAM玩美服。或者，选择玩SerB的WOWS XD2020/5/4 才发现国际服也被酷派狗啃了，外国人的骂声和酷派刷的好评真的是形成鲜明的对比，就这样吧，大海战已经死了。,Panther im Schlamm,278,1,200,28,0
47,47,2,推荐,28.7,28,"The first contact with navyfield was in 2005，it has been 12 years now。At the first beginning，I play the game on the school server，then on the china service, and now on the United States service。In fact，the game at the beginning is diffcult for a fresh，I even given up several times，but I'm holding on and find it Very funny。Especially its sailor system, which can be built according to your needs, you will have a great sense of accomplishment when it finished.Strongly recommend!----------------------------My SD ID:  july4th   （I want a usnavy ecv6.5）",844672412,0,0,0,1,0
48,48,3,不推荐,0.7,1012,2020 08 07 朋友 所做所为已收获颇丰，不用再添砖加瓦了吧？事到如今又何必非要与 朋友 分个高下呢？2020 06 23楼下的 朋友 来玩了啊，对阁下的观点完全赞同，确实有些 人 没有。那么能否发布些有点意义和价值的留言呢？还是说想删删不掉想封封不了呢？还真是可爱呢。前皇家方舟服务器zh0038福音，留言已打开欢迎各位 朋友nf是已停服游戏中最喜欢的之一，另一个是sd敢达。其优秀的游戏性和设定时至今日仍然堪称最好的海战题材网游对，已经停服了，现在的这个不配。,Wild Wurger,191,0,0,17,9
49,49,1,推荐,465.9,26,I am very happy that navyfiled can go to the steam platform.Hopping more new players can join us.The old players can come back.Let's enjoy this classic game together.                                                                         From   dengchushu,MOMOKA,43,0,0,2,22
50,50,2,不推荐,4.6,1093,绝了2b游戏，TM新手教程跟nm屎一样什么头TM不教，还nm吧护卫舰给整没了，出海都出不了，真nm np,星野日向酱,9,0,0,4,1
51,51,1,不推荐,0.6,1258,SB游戏,吉祥如意,4,0,0,2,0
52,52,2,不推荐,226.6,1091,酷派天空作为一个游戏商没有一个游戏商应有的态度，反倒只会欺负玩家怪不得这游戏没人玩,maoke110,51,0,0,1,9
53,53,2,推荐,133.1,1165,非常经典的海战游戏，忠实老玩家，感谢运营商提供游戏平台。好评666.,喵了个咪滴,15,0,0,0,0
54,54,2,推荐,174.7,1161,难得的运营了20年的海战游戏，画面操作依然不输于现在端游,43702787,8,0,0,1,0
55,55,2,推荐,85.3,1159,画面确实不行，但是游戏可玩性确实高，而且可以纯白嫖，不充值。,690525146,176,0,0,0,0
56,56,2,推荐,7.8,1155,比大海战4难一些，人多的时候好玩。音乐还不错，就是远古老游戏画质跟红警2一样，不过玩进去还挺有意思的，是上班摸鱼的好选择,Wang Xiaoyu,87,0,305,11,3
57,57,1,推荐,30.7,1154,hao,打不过就跑,14,0,163,3,125
58,58,2,推荐,660.7,1150,玩了十来年了，念念不忘！,????天水?,14,0,0,0,0
59,59,2,推荐,3.6,1145,"Best naval game ever, even the graphics is bit dated but it doesn't affect that it is much better than other naval game(no matter in control, in strategy) None of the other naval games can compare in depth. 100% no regret playing this. 最好的海战游戏，无论是在控制或是战术方面，暂时没有其他海战游戏能比得上，而且听说官方准备画面上的提升，反正这游戏玩了肯定不后悔",83299805,3,0,0,0,0
60,60,2,推荐,5.6,1135,免费获取的产品经典老游戏，海战典型。,Raymond,16,0,50,23,17
61,61,2,推荐,138.8,1099,6666666666,0,3,0,0,4,4
62,62,2,推荐,600.1,1054,通过steam版终于可以自定义spr了 还是海战好玩啊,呆毛酱,329,0,500,12,106
63,63,2,推荐,242.9,1051,上初中的时候第一次玩，应该是2002年吧，眨眼18年了，很开心复活了，希望能一直活下去。,CaptainZZ,115,0,342,2,11
64,64,2,不推荐,330.6,1120,不充钱你将一无是处，即使充钱你仍然一无是处，道理很简单你没别人冲的多。,电脑玩家白给,5,1,0,1,5
66,66,1,推荐,299.4,1209,经典延续,Fire.goodluck,20,0,0,6,2
67,67,1,推荐,244.1,1208,记忆中的游戏。要么花时间要么花钱,毫无游戏体验,3,0,0,1,6
70,70,1,推荐,66.4,666,多年没玩，没想到变成国际服了,miba（挂卡）,208,0,600,32,91
73,73,2,推荐,0.3,26,I know this is a good game. But.. I cannot link the NF ID with my steam account???Maybe nobody knows what is Player ID=。=,蝶舞盛夏,156,1,390,9,29
74,74,2,不推荐,5,1130,2020年了，世界上还存在操作如此反人类的游戏，还美其名曰硬核，真的搞笑,Masami,18,0,100,2,7
